accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
0.400809202,-0.249151125,-0.439068321,0.29718053,160,-0.341333397,-0.01658382,-0.51690323
1.39834249,2.129463521,2.969347696,1.14107195,350,-0.065162964,-0.016614693,1.705150289
-1.095490731,-0.249151125,1.265139688,-0.54671089,50,-0.065162964,-0.01658382,-0.482717791
-0.596724087,-0.249151125,-0.439068321,-0.54671089,95,-0.341333397,-0.01658382,-0.51690323
0.400809202,-0.249151125,-0.439068321,-0.54671089,50,1.315689203,-0.01658382,-0.51690323
0.400809202,0.940156198,-0.439068321,1.984963371,99,-0.341333397,-0.01658382,-0.51690323
0.400809202,0.940156198,1.265139688,0.29718053,100,0.21100747,-0.01658382,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,100,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-0.249151125,0.413035683,-0.54671089,38,-0.065162964,-0.016610463,-0.482717791
0.400809202,0.940156198,0.413035683,0.29718053,97,0.487177903,-0.01658382,-0.345976036
-1.095490731,-0.249151125,-0.439068321,-0.54671089,55,0.21100747,-0.01658382,-0.482717791
-0.596724087,-0.249151125,-0.439068321,-0.54671089,50,-0.065162964,-0.016615144,-0.51690323
-0.596724087,-1.438458448,-0.439068321,-0.54671089,99,1.315689203,-0.01658382,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,52,-0.341333397,-0.01658382,-0.482717791
-1.095490731,-0.249151125,-0.439068321,-0.54671089,23,-0.341333397,-0.01658382,-0.482717791
-0.596724087,-0.249151125,-0.439068321,0.29718053,200,-0.341333397,-0.01658382,-0.51690323
0.400809202,0.940156198,-0.439068321,0.29718053,40,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,135,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,100,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,225,-0.341333397,-0.01658382,-0.51690323
1.897109134,3.318770845,2.969347696,1.14107195,129,3.248882236,-0.01658382,-0.51690323
-1.095490731,-0.249151125,-0.439068321,-0.54671089,149,0.21100747,-0.016614664,1.055626953
0.400809202,-0.249151125,-0.439068321,0.29718053,150,-0.065162964,-0.016605247,2.354673625
0.400809202,-0.249151125,0.413035683,-0.54671089,175,-0.341333397,-0.01658382,0.337732739
-0.097957442,0.940156198,-0.439068321,0.29718053,239,0.763348336,-0.01658382,-0.380161475
0.400809202,-0.249151125,-0.439068321,0.29718053,65,-0.065162964,-0.01658382,-0.448532352
-0.596724087,-0.249151125,-0.439068321,-0.54671089,71,-0.065162964,-0.016615144,2.320488187
-0.596724087,-0.249151125,-0.439068321,-0.54671089,80,-0.341333397,-0.01658382,0.132620106
0.400809202,-0.249151125,2.117243692,1.14107195,250,-0.341333397,-0.016594956,2.696528013
-0.596724087,-0.249151125,-0.439068321,-0.54671089,138,-0.341333397,-0.016605247,1.089812392
-0.596724087,-0.249151125,-0.439068321,-0.54671089,94,-0.065162964,-0.016614946,4.610912583
0.899575846,0.940156198,2.117243692,0.29718053,283,0.21100747,-0.01658382,-0.004121649
-0.097957442,-0.249151125,-0.439068321,1.14107195,127,0.21100747,-0.016615087,-0.51690323
1.39834249,-0.249151125,-0.439068321,1.14107195,79,-0.341333397,-0.016605247,1.841892044
-0.097957442,-0.249151125,-0.439068321,-0.54671089,110,-0.341333397,-0.01658382,-0.482717791
1.39834249,-0.249151125,-0.439068321,3.672746211,38,-0.341333397,-0.01658382,-0.448532352
2.894642423,2.129463521,2.117243692,2.828854791,480,0.21100747,-0.01658382,-0.345976036
1.39834249,0.940156198,1.265139688,1.14107195,372,0.21100747,-0.01658382,0.611216249
-0.097957442,-0.249151125,-0.439068321,0.29718053,125,-0.341333397,-0.016614693,-0.140863404
-0.596724087,-0.249151125,-0.439068321,-0.54671089,89,-0.341333397,-0.01658382,-0.414346914
-1.095490731,-0.249151125,-0.439068321,-0.54671089,80,-0.341333397,-0.01658382,-0.345976036
0.899575846,-1.438458448,-0.439068321,1.14107195,90,0.21100747,-0.016587372,0.474474494
-0.097957442,-1.438458448,-0.439068321,0.29718053,110,-0.065162964,-0.01658382,0.57703081
-0.097957442,0.940156198,-0.439068321,1.14107195,100,0.21100747,-0.01658382,-0.482717791
0.400809202,0.940156198,1.265139688,0.29718053,250,-0.341333397,-0.016612719,-0.004121649
-1.095490731,-0.249151125,-0.439068321,-0.54671089,55,-0.341333397,-0.01658382,-0.51690323
